worker_memory_cap_gib,regime,rtt_ms,bandwidth_gbps,worker_count,total_resident_gib,max_peak_gib_per_worker,admissible_exact_tok_s_per_user,diagnostic_tok_s_per_user,target_pass_ms_diagnostic,active_worker_seconds_per_output_token,resident_worker_seconds_per_output_token,network_mb_per_output_token,compute_work_inflation,one_request_worker_utilization,market_unique_compatible_machines,market_fleet_feasible,market_estimated_hourly_fleet_price_usd,market_estimate_is_actual_cost_per_token,admissible,evidence_class
2,A,0.25,25.0,1488,1453.6644563674927,1.2710752207785845,,21.5884159980579,787.4593486399987,1.609018300000004,68.92585357507753,302.152304,4.314377237186303,0.02334419113500533,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
2,B,1.0,10.0,1488,1453.6644563674927,1.2710752207785845,,8.299095998609475,2048.415876000033,1.2398440764705887,179.2966366757676,302.1521910588235,4.716864489383154,0.006915043692161772,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
2,C,5.0,1.0,1488,1453.6644563674927,1.2710752207785845,,1.8261767889135978,9309.06586,1.2398440764705887,814.817058804706,302.1521910588235,4.716864489383154,0.0015216226305931476,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
2,D,20.0,0.1,1488,1453.6644563674927,1.2710752207785845,,0.42145406399136864,40336.54306000039,1.609018300000004,3530.6338866635638,302.152304,4.314377237186303,0.00045573071342169575,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
2,E,50.0,0.1,1488,1453.6644563674927,1.2710752207785845,,0.18935055562921227,89780.5657,1.2398440764705887,7858.4401036235295,302.1521910588235,4.716864489383154,0.00015777228815409502,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
1,A,0.25,25.0,2976,1453.6644563674927,0.6670939922332764,,18.383571681333535,924.7386903199885,3.1708689000000043,161.8836671995462,621.634416,8.50228030611085,0.01958733054948294,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
1,B,1.0,10.0,2976,1453.6644563674927,0.6670939922332764,,6.923118875172425,2455.540675599999,2.4571209176470656,429.86406179915275,621.6341825882353,9.347874158146148,0.005716041735061607,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
1,C,5.0,1.0,2976,1453.6644563674927,0.6670939922332764,,1.497811700717617,11349.89130600003,2.4571209176470656,1986.8986192150642,621.6341825882353,9.347874158146148,0.001236661445070488,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
1,D,20.0,0.1,2976,1453.6644563674927,0.6670939922332764,,0.3441756175459564,49393.388529999684,3.1708689000000043,8646.748486192884,621.634416,8.50228030611085,0.0003667122855560375,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
1,E,50.0,0.1,2976,1453.6644563674927,0.6670939922332764,,0.1546285356001484,109940.897609999,2.4571209176470656,19246.124193373944,621.6341825882353,9.347874158146148,0.00012766834989524784,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
